"File","Line","Kind","Detail"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\manager\WorkflowManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\manager\WorkflowManager.java","14","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\metrics\WorkflowEngineMetricsCollector.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\metrics\WorkflowEngineMetricsCollector.java","33","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\performance\WorkflowCacheManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\performance\WorkflowCacheManager.java","39","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\performance\WorkflowPerformanceOptimizer.java","","EMPTY_FILE","文件为空"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\websocket\WorkflowWebSocketController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-oa-service\src\main\java\net\lab1024\sa\oa\workflow\websocket\WorkflowWebSocketController.java","31","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\config\VideoBehaviorConfig.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\config\VideoBehaviorConfig.java","33","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\config\VideoCacheConfig.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\config\VideoCacheConfig.java","39","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\AIEventController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\AIEventController.java","55","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\VideoDeviceController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\VideoDeviceController.java","61","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\VideoPTZController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\VideoPTZController.java","51","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\VideoSystemIntegrationController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\controller\VideoSystemIntegrationController.java","47","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\edge\ai\EdgeAIEngine.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\edge\ai\EdgeAIEngine.java","32","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\edge\EdgeVideoProcessor.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\edge\EdgeVideoProcessor.java","34","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\AIEventManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\AIEventManager.java","35","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\BehaviorDetectionManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\BehaviorDetectionManager.java","19","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\CrowdAnalysisManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\CrowdAnalysisManager.java","24","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\DecoderManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\DecoderManager.java","30","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\FaceRecognitionManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\FaceRecognitionManager.java","26","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoDeviceManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoDeviceManager.java","28","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoMonitorManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoMonitorManager.java","28","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoPTZManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoPTZManager.java","28","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoStreamManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoStreamManager.java","27","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoSystemIntegrationManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoSystemIntegrationManager.java","36","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoWallManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\VideoWallManager.java","31","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\WallTaskManager.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\manager\WallTaskManager.java","32","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\openapi\controller\VideoOpenApiController.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\ioedream-video-service\src\main\java\net\lab1024\sa\video\openapi\controller\VideoOpenApiController.java","33","TOPLEVEL_BRACE_BEFORE_CLASS","出现孤立""{""，但未找到class/interface/enum/record声明（类头可能被剪切/粘贴破坏）"
"D:\IOE-DREAM\microservices\microservices-common\src\main\java\net\lab1024\sa\common\factory\StrategyMarker.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\microservices-common-business\src\main\java\net\lab1024\sa\common\biometric\strategy\impl\AbstractAuthenticationStrategy.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\microservices-common-business\src\main\java\net\lab1024\sa\common\factory\StrategyMarker.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\microservices-common-core\src\main\java\net\lab1024\sa\common\constant\SystemConstants.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\microservices-common-core\src\main\java\net\lab1024\sa\common\entity\BaseEntity.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\microservices-common-core\src\main\java\net\lab1024\sa\common\workflow\constant\WorkflowDefinitionConstants.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\microservices-common-permission\src\main\java\net\lab1024\sa\common\permission\annotation\PermissionCheck.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
"D:\IOE-DREAM\microservices\microservices-common-storage\src\main\java\net\lab1024\sa\common\storage\FileStorageArchitectureDoc.java","","NO_TYPE_DECL_IN_HEADER","前200行未找到class/interface/enum/record声明（高度可疑）"
